L_A=           UNKNOWN         L_B=           UNKNOWN         RA=x RB=x  (PA=0 PB=0 ERR=0 rst=0)
L_A=           FLASH_YELLOW    L_B=           FLASH_YELLOW    RA=0 RB=0  (PA=0 PB=0 ERR=0 rst=1)
L_A=           FLASH_YELLOW    L_B=           FLASH_YELLOW    RA=0 RB=0  (PA=0 PB=0 ERR=0 rst=1)
L_A=           FLASH_YELLOW    L_B=           FLASH_YELLOW    RA=0 RB=0  (PA=0 PB=0 ERR=0 rst=0)
L_A=           FLASH_RED       L_B=           FLASH_RED       RA=1 RB=1  (PA=0 PB=0 ERR=0 rst=0)
L_A=           FLASH_RED       L_B=           FLASH_RED       RA=1 RB=1  (PA=0 PB=0 ERR=0 rst=0)
L_A=           FLASH_RED       L_B=           FLASH_RED       RA=1 RB=1  (PA=0 PB=0 ERR=0 rst=0)
L_A=           FLASH_RED       L_B=           FLASH_RED       RA=1 RB=1  (PA=0 PB=0 ERR=0 rst=0)
L_A=           FLASH_RED       L_B=           FLASH_RED       RA=1 RB=1  (PA=0 PB=0 ERR=0 rst=0)
L_A=           FLASH_RED       L_B=           FLASH_RED       RA=1 RB=1  (PA=0 PB=0 ERR=0 rst=0)
L_A=           GREEN           L_B=           RED             RA=0 RB=0  (PA=0 PB=0 ERR=0 rst=0)
L_A=           GREEN           L_B=           RED             RA=0 RB=0  (PA=0 PB=0 ERR=0 rst=0)
L_A=           GREEN           L_B=           RED             RA=0 RB=0  (PA=0 PB=0 ERR=0 rst=0)
L_A=           GREEN           L_B=           RED             RA=0 RB=0  (PA=0 PB=0 ERR=0 rst=0)
L_A=           GREEN           L_B=           RED             RA=0 RB=0  (PA=0 PB=0 ERR=0 rst=0)
L_A=           GREEN           L_B=           RED             RA=0 RB=0  (PA=0 PB=0 ERR=0 rst=0)
L_A=           GREEN           L_B=           RED             RA=0 RB=0  (PA=0 PB=0 ERR=0 rst=0)
L_A=           GREEN           L_B=           RED             RA=0 RB=0  (PA=0 PB=0 ERR=0 rst=0)
L_A=           G_LEFT          L_B=           G_RIGHT         RA=0 RB=0  (PA=0 PB=0 ERR=0 rst=0)
L_A=           G_LEFT          L_B=           G_RIGHT         RA=0 RB=0  (PA=0 PB=0 ERR=0 rst=0)
L_A=           G_LEFT          L_B=           G_RIGHT         RA=0 RB=0  (PA=0 PB=0 ERR=0 rst=0)
L_A=           YELLOW          L_B=           G_RIGHT         RA=0 RB=0  (PA=0 PB=0 ERR=0 rst=0)
L_A=           YELLOW          L_B=           G_RIGHT         RA=0 RB=0  (PA=0 PB=0 ERR=0 rst=0)
L_A=           YELLOW          L_B=           G_RIGHT         RA=0 RB=0  (PA=0 PB=0 ERR=0 rst=0)
L_A=           RED             L_B=           GREEN           RA=0 RB=0  (PA=0 PB=0 ERR=0 rst=0)
L_A=           RED             L_B=           GREEN           RA=0 RB=0  (PA=0 PB=0 ERR=0 rst=0)
L_A=           RED             L_B=           GREEN           RA=0 RB=0  (PA=0 PB=0 ERR=0 rst=0)
L_A=           RED             L_B=           GREEN           RA=0 RB=0  (PA=0 PB=0 ERR=0 rst=0)
L_A=           RED             L_B=           GREEN           RA=0 RB=0  (PA=0 PB=0 ERR=0 rst=0)
L_A=           RED             L_B=           GREEN           RA=0 RB=0  (PA=0 PB=0 ERR=0 rst=0)
L_A=           RED             L_B=           GREEN           RA=0 RB=0  (PA=0 PB=0 ERR=0 rst=0)
L_A=           RED             L_B=           GREEN           RA=0 RB=0  (PA=0 PB=0 ERR=0 rst=0)
L_A=           G_RIGHT         L_B=           G_LEFT          RA=0 RB=0  (PA=0 PB=0 ERR=0 rst=0)
L_A=           G_RIGHT         L_B=           G_LEFT          RA=0 RB=0  (PA=0 PB=0 ERR=0 rst=0)
L_A=           G_RIGHT         L_B=           G_LEFT          RA=0 RB=0  (PA=0 PB=0 ERR=0 rst=0)
L_A=           G_RIGHT         L_B=           YELLOW          RA=0 RB=0  (PA=0 PB=0 ERR=0 rst=0)
